match_id,utc_date,matchday,season_id,season,home_team,away_team,home_form,away_form,home_form_home,away_form_away,heimquote,home_streak,away_streak,home_goal_diff,away_goal_diff,is_promoted_home,is_promoted_away,winner
502371,2024-08-23 18:30:00,1,2308,2024,Borussia Mönchengladbach,Bayer 04 Leverkusen,3,11,3,13,0.3333333333333333,0,3,-1.0,2.0,0,0,AWAY_TEAM
502372,2024-08-24 13:30:00,1,2308,2024,RB Leipzig,VfL Bochum 1848,9,6,11,3,0.6666666666666666,0,0,0.8,-1.4,0,0,HOME_TEAM
502374,2024-08-24 13:30:00,1,2308,2024,TSG 1899 Hoffenheim,Holstein Kiel,10,0,10,0,0.4166666666666667,2,0,1.6,0.0,0,1,HOME_TEAM
502375,2024-08-24 13:30:00,1,2308,2024,SC Freiburg,VfB Stuttgart,3,10,2,10,0.16666666666666666,0,3,-0.4,1.2,0,0,HOME_TEAM
502376,2024-08-24 13:30:00,1,2308,2024,FC Augsburg,SV Werder Bremen,0,11,7,5,0.3333333333333333,0,1,-2.2,1.4,0,0,DRAW
502378,2024-08-24 13:30:00,1,2308,2024,1. FSV Mainz 05,1. FC Union Berlin,9,4,13,2,0.4166666666666667,2,1,1.0,-1.0,0,0,DRAW
502373,2024-08-24 16:30:00,1,2308,2024,Borussia Dortmund,Eintracht Frankfurt,7,5,10,4,0.5,1,0,0.4,-0.6,0,0,HOME_TEAM
502377,2024-08-25 13:30:00,1,2308,2024,VfL Wolfsburg,FC Bayern München,9,9,6,6,0.25,0,0,0.2,0.6,0,0,AWAY_TEAM
502379,2024-08-25 15:30:00,1,2308,2024,FC St. Pauli 1910,1. FC Heidenheim 1846,0,8,0,6,0.5,0,1,0.0,0.6,1,0,AWAY_TEAM
502386,2024-08-30 18:30:00,2,2308,2024,1. FC Union Berlin,FC St. Pauli 1910,5,0,6,0,0.5,0,0,-0.2,-2.0,0,1,HOME_TEAM
502381,2024-08-31 13:30:00,2,2308,2024,VfB Stuttgart,1. FSV Mainz 05,10,9,13,6,0.75,0,0,1.0,1.0,0,0,DRAW
502383,2024-08-31 13:30:00,2,2308,2024,Eintracht Frankfurt,TSG 1899 Hoffenheim,2,10,6,3,0.4166666666666667,0,3,-1.4,1.6,0,0,HOME_TEAM
502385,2024-08-31 13:30:00,2,2308,2024,SV Werder Bremen,Borussia Dortmund,9,9,7,9,0.3333333333333333,0,2,1.2,0.8,0,0,DRAW
502387,2024-08-31 13:30:00,2,2308,2024,VfL Bochum 1848,Borussia Mönchengladbach,6,3,5,5,0.4166666666666667,0,0,-1.4,-1.0,0,0,AWAY_TEAM
502388,2024-08-31 13:30:00,2,2308,2024,Holstein Kiel,VfL Wolfsburg,0,6,0,6,0.5,0,0,-1.0,-0.2,1,0,AWAY_TEAM
502380,2024-08-31 16:30:00,2,2308,2024,Bayer 04 Leverkusen,RB Leipzig,13,9,13,11,0.75,4,1,2.2,0.8,0,0,AWAY_TEAM
502384,2024-09-01 13:30:00,2,2308,2024,1. FC Heidenheim 1846,FC Augsburg,11,1,8,3,0.3333333333333333,2,0,1.2,-1.8,0,0,HOME_TEAM
502382,2024-09-01 15:30:00,2,2308,2024,FC Bayern München,SC Freiburg,9,5,12,10,0.8333333333333334,1,1,0.0,0.0,0,0,HOME_TEAM
502390,2024-09-13 18:30:00,3,2308,2024,Borussia Dortmund,1. FC Heidenheim 1846,10,11,10,9,0.5833333333333334,0,3,1.4,1.8,0,0,HOME_TEAM
502389,2024-09-14 13:30:00,3,2308,2024,RB Leipzig,1. FC Union Berlin,9,7,11,3,0.6666666666666666,2,1,0.4,0.0,0,0,DRAW
502391,2024-09-14 13:30:00,3,2308,2024,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,10,12,13,13,0.5,0,0,1.4,2.0,0,0,AWAY_TEAM
502392,2024-09-14 13:30:00,3,2308,2024,SC Freiburg,VfL Bochum 1848,5,3,5,3,0.25,0,0,-0.2,-2.0,0,0,HOME_TEAM
502394,2024-09-14 13:30:00,3,2308,2024,VfL Wolfsburg,Eintracht Frankfurt,6,5,6,1,0.16666666666666666,1,1,0.0,-0.8,0,0,AWAY_TEAM
502396,2024-09-14 13:30:00,3,2308,2024,Borussia Mönchengladbach,VfB Stuttgart,5,10,2,7,0.25,1,0,-0.6,1.0,0,0,AWAY_TEAM
502397,2024-09-14 16:30:00,3,2308,2024,Holstein Kiel,FC Bayern München,0,9,0,6,0.0,0,2,-1.5,0.2,1,0,AWAY_TEAM
502393,2024-09-15 13:30:00,3,2308,2024,FC Augsburg,FC St. Pauli 1910,1,0,5,0,0.3333333333333333,0,0,-2.0,-1.5,0,1,HOME_TEAM
502395,2024-09-15 15:30:00,3,2308,2024,1. FSV Mainz 05,SV Werder Bremen,9,7,11,6,0.4166666666666667,0,0,1.0,0.6,0,0,AWAY_TEAM
502403,2024-09-20 18:30:00,4,2308,2024,FC Augsburg,1. FSV Mainz 05,4,8,7,7,0.3333333333333333,1,0,-0.8,0.8,0,0,AWAY_TEAM
502401,2024-09-21 13:30:00,4,2308,2024,1. FC Heidenheim 1846,SC Freiburg,10,7,10,7,0.4166666666666667,0,1,1.4,0.0,0,0,AWAY_TEAM
502402,2024-09-21 13:30:00,4,2308,2024,SV Werder Bremen,FC Bayern München,9,12,8,9,0.3333333333333333,1,3,0.8,1.6,0,0,AWAY_TEAM
502404,2024-09-21 13:30:00,4,2308,2024,1. FC Union Berlin,TSG 1899 Hoffenheim,8,9,6,3,0.5833333333333334,0,0,0.2,0.8,0,0,HOME_TEAM
